uid,name,vendor_name,address,latitude,longitude,city,country,open,close,logo_url,staff,payment_modes,contact_numbers,station_type,postal_code,zone,0,available,capacity,cost_per_unit,power_type,total,type,vehicle_type
REVBOLT_00036985,REVOS,REVOS,C195 Divya Jyoti apartment sector 19 Rohini Delhi,28.7369227761319,77.1397861093283,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919818081611""]",charging,110089,north-west-delhi,,1.0,3.3 kW,₹15 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00022032,REVOS,REVOS,19/115 vasti sarai rohilla delhi 35,28.6682209427669,77.1799035742879,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919212340777""]",charging,110035,north-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00036980,REVOS,REVOS,c 1 Madanpur khadar extn Sarita Vihar New Delhi,28.5338848418707,77.3091645911336,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919868904786""]",charging,110076,south-delhi,,1.0,3.3 kW,₹31 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00032723,REVOS,REVOS,Delhi,28.5183696601665,77.1993489190936,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919166667550""]",charging,110030,south-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00026733,REVOS,REVOS,Right Nager,28.6083794765822,77.092079333961,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919891885997""]",charging,110046,south-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00024915,REVOS,REVOS,suraj kund road,28.500456462923,77.2903619706631,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919818328819""]",charging,110044,south-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00017672,REVOS,REVOS,Palate Of Delhi Foodcourt ,28.5924310430249,77.1626039966941,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919013246987""]",charging,110021,south-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00017611,REVOS,REVOS,Palate Of Delhi Foodcourt ,28.5926644923947,77.1625691279769,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919013246987""]",charging,110021,south-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00031965,REVOS,REVOS,E-471 Navjeevan camp Govindpuri,28.5304927295113,77.2620113566518,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919654998293""]",charging,110019,south-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00022660,REVOS,REVOS,"Shop No. 83, Ramesh Motor Works, DDA AUTO COMOLEX, Opposite DCWA HOSPITAL",28.5563113908472,77.2372290864587,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""8076116616""]",charging,110048,south-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00019157,REVOS,REVOS,104 indra market dakshin Puri new Delhi,28.5227734702186,77.2351590916514,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919811159692""]",charging,110062,south-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00037060,REVOS,REVOS,shop no.7 sector 3 R.K puram,28.5544016122045,77.1823212504387,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918860720685""]",charging,110022,south-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00022681,REVOS,REVOS,A91 jhabar parak khanpur,28.5078450199794,77.2305641323328,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919873326185""]",charging,110080,south-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00037063,REVOS,REVOS,shopno 112 Metro Pillar No 35 D.D.A Market,28.6066248817798,77.3017925396562,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919811978720""]",charging,110091,east-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00036986,REVOS,REVOS,plot no 05 sector 18 A Dwarka Delhi,28.5905540088215,77.0342177152634,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919911685262""]",charging,110075,south-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00036979,REVOS,REVOS,plot no 05 sector 18a Dwarka Delhi,28.5907547847834,77.0343558490276,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919911685262""]",charging,110075,south-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00023787,REVOS,REVOS,gali no. 3 f block molband badarpur,28.4863900513673,77.3135476559401,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919873579492""]",charging,110044,south-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00021972,REVOS,REVOS,A -217 Thana road Kamal Vihar Karawal Nagar,28.7312070149663,77.2732461243868,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""9899153031""]",charging,110094,north-east-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00026539,REVOS,REVOS,"Shop No 1 Kanjhawala Road Near Shamshan Ghat ,Sukhbir Nagar",28.7281732011417,77.0470564439893,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+917011933060""]",charging,110081,north-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00019787,REVOS,REVOS,1107 main Service road BT 3rd pusta ,28.6885311986557,77.2543308511376,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919868498136""]",charging,110053,east-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00016179,REVOS,REVOS,"H.No.110,gali No.1, Main Service road opp.CRPF camp,vill Biharipur",28.7142592778233,77.2577795013785,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919650623772""]",charging,110094,north-east-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00016359,REVOS,REVOS,1352/N govindpuri kalka ji 13 no main raod baba fateh singh marg,28.5322079455083,77.2657788544893,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919910226424""]",charging,110019,south-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00032471,REVOS,REVOS,C1 main kanjhawal road Ram vihar,28.7280805889073,77.0470879599452,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918920701304""]",charging,110081,north-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
